district,year,subgroup,sampleN,indicator,crudeWeightedPercent,standardErrorPP,relativeStandardErrorPercent,ageStandardizedPercent,confidenceInterval,period,denominator,rateType,sourceSheet,excelRow,excelColumn,pdfPage
수영구,2024,30-39,106,AED 실습 경험률,20.8,4.7,22.6,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",12,8,208
수영구,2024,40-49,140,심폐소생술 교육 경험률,31.5,5.0,15.7,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",13,4,208
수영구,2024,40-49,140,마네킹 실습 경험률,29.0,4.6,15.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",13,6,208
수영구,2024,40-49,140,AED 실습 경험률,25.8,4.3,16.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",13,8,208
수영구,2024,50-59,156,심폐소생술 교육 경험률,23.2,3.4,14.7,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",14,4,208
수영구,2024,50-59,156,마네킹 실습 경험률,21.5,3.4,15.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",14,6,208
수영구,2024,50-59,156,AED 실습 경험률,12.6,2.9,23.4,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",14,8,208
수영구,2024,60-69,212,심폐소생술 교육 경험률,17.6,2.4,13.7,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",15,4,208
수영구,2024,60-69,212,마네킹 실습 경험률,15.4,2.4,15.4,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",15,6,208
수영구,2024,60-69,212,AED 실습 경험률,7.2,1.8,24.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",15,8,208
수영구,2024,70 이상,207,심폐소생술 교육 경험률,6.9,1.7,25.4,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",16,4,208
수영구,2024,70 이상,207,마네킹 실습 경험률,6.9,1.7,25.4,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",16,6,208
수영구,2024,70 이상,207,AED 실습 경험률,2.2,1.1,49.5,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",16,8,208
수영구,2024,19-64,597,심폐소생술 교육 경험률,30.6,2.4,7.8,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",18,4,208
수영구,2024,19-64,597,마네킹 실습 경험률,28.6,2.3,7.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",18,6,208
수영구,2024,19-64,597,AED 실습 경험률,20.8,2.1,10.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",18,8,208
수영구,2024,65 이상,316,심폐소생술 교육 경험률,8.1,1.4,17.6,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",19,4,208
수영구,2024,65 이상,316,마네킹 실습 경험률,7.5,1.4,18.8,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",19,6,208
수영구,2024,65 이상,316,AED 실습 경험률,2.2,0.9,39.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",19,8,208
